mult,sym,min_fvg,trades,pnl,wr,mdd,pf
0.14,AVAXUSDT,0.0081,607,11857.94,43.32784184514003,2.9305425981411504,4.623710715429321
0.14,BNBUSDT,0.3529,649,15879.2,45.91679506933744,3.6639903683644772,4.506046072686155
0.14,BTCUSDT,38.7001,536,12847.93,43.09701492537313,3.439681130490367,4.6324250892600425
0.14,DOTUSDT,0.0014,613,16121.43,46.00326264274062,3.328187712256854,5.001258196132294
0.14,ETHUSDT,1.6197,441,5782.2,39.682539682539684,3.1563150727593623,3.665410868609931
0.14,LINKUSDT,0.0081,529,4080.59,36.672967863894144,4.639269968181713,3.133439031527944
0.14,NEARUSDT,0.0012,782,18227.57,47.69820971867008,2.208339805685308,4.273583863581448
0.14,SOLUSDT,0.0762,407,1516.68,28.992628992628994,15.95622729056139,3.196454274089673
0.14,SUIUSDT,0.0011,614,10498.47,41.530944625407166,4.2428433839221835,4.1462897688258185
0.14,XRPUSDT,0.0012,622,12432.960000000001,43.89067524115756,3.8555645956827984,4.112474860683226
0.16,ADAUSDT,0.0003,581,9129.98,40.963855421686745,4.468302252913341,3.860788208033959
0.16,APTUSDT,0.0013,635,14968.89,52.75590551181102,2.102488057238059,3.8193446820728516
0.16,ATOMUSDT,0.0018,718,21057.97,46.10027855153203,3.8776964987469618,5.473668574926943
0.16,AVAXUSDT,0.0092,584,10976.21,42.63698630136986,3.3097328044669445,4.641268973039607
0.16,BNBUSDT,0.4033,662,16067.91,45.61933534743202,4.078270898748864,4.50249400278691
0.16,BTCUSDT,44.2286,533,13424.87,43.71482176360225,3.4429241682475684,4.706033027044534
0.16,DOTUSDT,0.0016,613,16088.36,44.208809135399676,5.112191138244556,5.212901688904817
0.16,ETHUSDT,1.8511,436,5455.15,39.908256880733944,3.318900295296069,3.493044796466541
0.16,LINKUSDT,0.0093,523,4071.91,36.32887189292543,4.6773298514770705,3.1469080991358163
0.16,NEARUSDT,0.0014,768,17139.74,47.52604166666667,1.9079152368652523,4.1828228217787355
0.16,SOLUSDT,0.087,402,1656.21,29.850746268656714,15.229439961788415,3.149842854501756
0.16,SUIUSDT,0.0012,617,10813.42,41.81523500810373,4.2428433839221835,4.180841977735812
0.16,XRPUSDT,0.0013,613,12440.83,44.37194127243067,3.8555645956827984,4.048473452586452
0.18,ADAUSDT,0.0003,578,8233.37,41.003460207612456,4.498976208739315,3.629373137067368
0.18,APTUSDT,0.0015,619,14890.26,52.18093699515347,2.0821109726768525,3.9133796026291208
0.18,ATOMUSDT,0.002,713,20612.62,45.72230014025245,5.61874646026053,5.447678286130662
0.18,AVAXUSDT,0.0104,569,10343.38,41.476274165202106,3.208119350754784,4.742625011753317
0.18,BNBUSDT,0.4537,654,14131.41,45.56574923547401,4.574933760611568,4.145902316205341
